SHOP_ID,DATE,HOUR,Num_raw,Num_post,DofW
1,2015-11-14,13,1,1.0,5
1,2015-12-01,11,1,1.0,1
1,2015-12-16,21,1,1.0,2
1,2016-04-12,14,1,1.0,1
1,2016-04-28,17,1,1.0,3
1,2016-05-07,15,1,1.0,5
1,2016-07-01,9,1,1.0,4
1,2016-07-02,20,1,1.0,5
1,2016-07-10,22,1,1.0,6
1,2016-07-21,21,1,1.0,3
1,2016-08-04,16,1,1.0,3
1,2016-08-22,21,1,1.0,0
1,2016-09-26,20,1,1.0,0
1,2016-10-17,22,1,1.0,0
1,2016-10-25,18,1,1.0,1
2,2016-01-26,12,1,1.0,1
2,2016-02-06,18,1,1.0,5
2,2016-04-10,17,1,1.0,6
2,2016-06-26,12,1,1.0,6
2,2016-07-15,17,1,1.0,4
2,2016-08-15,19,1,1.0,0
2,2016-08-24,19,1,1.0,2
2,2016-10-26,9,1,1.0,2
3,2016-06-22,18,1,1.0,2
3,2016-06-25,13,1,1.0,5
3,2016-07-04,11,1,1.0,0
3,2016-09-03,17,1,1.0,5
4,2016-08-24,18,1,1.0,2
5,2016-06-11,21,1,1.0,5
6,2016-04-20,15,1,1.0,2
6,2016-07-21,18,1,1.0,3
7,2015-08-21,18,1,1.0,4
7,2015-09-20,1,1,1.0,6
7,2015-12-26,8,1,1.0,5
7,2016-04-22,14,1,1.0,4
7,2016-06-13,9,1,1.0,0
7,2016-06-14,18,1,1.0,1
7,2016-08-25,20,1,1.0,3
7,2016-10-02,16,1,1.0,6
8,2016-09-19,19,1,1.0,0
8,2016-10-26,20,1,1.0,2
9,2015-11-26,17,1,1.0,3
9,2015-12-01,18,1,1.0,1
9,2015-12-21,19,1,1.0,0
9,2016-01-14,18,1,1.0,3
9,2016-01-20,17,1,1.0,2
9,2016-02-20,14,1,1.0,5
9,2016-03-05,20,1,1.0,5
9,2016-06-09,10,1,1.0,3
9,2016-07-05,16,1,1.0,1
9,2016-09-16,17,1,1.0,4
9,2016-10-07,9,1,1.0,4
9,2016-10-21,17,1,1.0,4
10,2016-10-17,20,1,1.0,0
11,2016-03-06,17,1,1.0,6
11,2016-04-11,20,1,1.0,0
12,2016-03-20,20,1,1.0,6
12,2016-06-18,17,1,1.0,5
12,2016-08-15,19,1,1.0,0
13,2016-04-19,8,1,1.0,1
13,2016-05-22,12,1,1.0,6
13,2016-07-06,8,2,2.0,2
13,2016-07-26,19,1,1.0,1
13,2016-07-28,8,1,1.0,3
13,2016-09-24,12,1,1.0,5
13,2016-09-27,12,1,1.0,1
13,2016-09-28,8,1,1.0,2
14,2015-11-18,18,1,1.0,2
14,2016-07-01,21,1,1.0,4
15,2016-08-31,17,1,1.0,2
16,2016-02-02,17,1,1.0,1
16,2016-06-10,16,1,1.0,4
16,2016-06-23,16,1,1.0,3
16,2016-07-26,12,1,1.0,1
17,2015-10-18,15,1,1.0,6
17,2016-01-11,8,1,1.0,0
17,2016-01-20,14,1,1.0,2
17,2016-02-11,12,1,1.0,3
17,2016-04-23,0,1,1.0,5
19,2015-12-10,20,1,1.0,3
19,2016-03-16,18,1,1.0,2
19,2016-04-18,16,1,1.0,0
20,2016-04-05,12,1,1.0,1
20,2016-08-01,9,1,1.0,0
20,2016-10-12,23,1,1.0,2
20,2016-10-23,10,1,1.0,6
21,2016-03-19,13,1,1.0,5
21,2016-06-13,16,1,1.0,0
22,2015-10-08,19,1,1.0,3
22,2015-11-22,20,1,1.0,6
22,2016-10-17,20,1,1.0,0
23,2016-04-11,8,1,1.0,0
23,2016-04-11,14,1,1.0,0
23,2016-06-28,22,1,1.0,1
23,2016-07-19,13,1,1.0,1
